Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinSocket_2x20_P2.54mm_Vertical,1,Orange_PI_PC_ONE_40Pin_Header,
J11,PinHeader_1x04_P2.54mm_Vertical,1,OPI SPI0 Header,
J12,PinHeader_1x05_P2.54mm_Vertical,1,ST7735 Header,
"J13, J14, J15, J16",PinHeader_1x05_P2.54mm_Vertical,4,SPI5 Header,
J17,PinHeader_1x03_P2.54mm_Vertical,1,STM32 GPIO Header,
J2,PinSocket_1x07_P2.54mm_Vertical,1,I2S1 DAC Socket,
J3,PinSocket_1x07_P2.54mm_Vertical,1,I2S2 ADC Socket,
J4,PinHeader_1x03_P2.54mm_Vertical,1,+3V3 Header,
J5,PinHeader_1x03_P2.54mm_Vertical,1,+5V Header,
J6,PinHeader_1x03_P2.54mm_Vertical,1,GND Header,
J7,PinHeader_1x03_P2.54mm_Vertical,1,STM32 DEBUG Header,
J8,PinSocket_1x03_P2.54mm_Vertical,1,OPI Conn Debug Socket,
J9,PinHeader_1x03_P2.54mm_Vertical,1,OPI Conn Debug Header,
U1,STM32_WeActSt_BlackPill,1,~,
